root_id,supervoxel_id,position,type,is_fafb_ol_type,confidence
720575941394246660,78180637391657606,"[179204, 29177, 2243]",MeTu1,True,
720575941394248086,78602712686146425,"[190831, 25969, 3237]",,False,
720575941394248964,78954968253740946,"[202271, 37098, 1310]",Tm20,True,
720575941394255876,78673493814117889,"[193199, 38881, 3452]",Pm06,True,
720575941394263812,78814368003262452,"[196652, 40992, 641]",Dm3q,True,
720575941394264836,79517711847547114,"[217293, 31240, 597]",,False,
720575941394276356,78321649757911795,"[182645, 37828, 2243]",,False,
720575941394277124,78814230698497004,"[197441, 38535, 1137]",,False,
720575941394279684,78321168922412534,"[183364, 23853, 2834]",,False,
720575941394314646,78954693711368338,"[201764, 29945, 2586]",,False,
720575941394363286,79728612056256418,"[224975, 26348, 1247]",,False,
720575941394401174,79728818348459420,"[223520, 32560, 1597]",Lawf2,True,
720575941394404502,79728818416100118,"[224304, 31840, 2041]",,False,
720575941394407062,78463005520080164,"[188336, 56219, 1416]",LPi09,True,
720575941394483094,78954556339635611,"[200835, 25595, 2890]",,False,
720575941394483862,78602781740744235,"[191344, 28038, 4377]",,False,
720575941394487702,78321718879908756,"[183690, 39895, 3741]",T5b,True,
720575941394498966,78813819186744033,"[198259, 25191, 4142]",,False,
720575941394508694,79095224705757272,"[205639, 22998, 1308]",Tm3,True,
720575941394521750,79798843159362330,"[226694, 21515, 307]",,False,
720575941394523030,78673149612731884,"[193990, 27990, 1126]",,False,
720575941394538646,79025268009740682,"[204186, 34974, 259]",,False,
720575941394542230,79588149579930363,"[219836, 34578, 1735]",L2,True,
720575941394549910,78814437058052084,"[196949, 43110, 1838]",Tm16,True,
720575941394576534,79095568236585792,"[205405, 33557, 1245]",,False,
720575941394580374,77759386864683224,"[167775, 57942, 1607]",,False,
720575941394586262,79236099901877570,"[209118, 26632, 2465]",L5,True,
720575941394586774,78321444001818625,"[182803, 32554, 3682]",T4c,True,
720575941394608278,79166349230120155,"[207015, 45974, 859]",,False,
720575941394627478,79095293828068528,"[206230, 25359, 2919]",,False,
720575941394629014,79306056463085730,"[212202, 16109, 2952]",,False,
720575941394629782,78814299283992540,"[197411, 39307, 704]",,False,
720575941394660502,78462387716127101,"[187787, 37969, 4083]",T4c,True,
720575941394675862,79165730821880526,"[208357, 27702, 1082]",Tm9,True,
720575941394678166,79869211970736365,"[228734, 20646, 529]",L2,True,
720575941394685334,78884668363760177,"[198764, 40040, 2007]",,False,
720575941394687894,78532275490575591,"[188608, 24466, 4150]",T2,True,
720575941394694038,78673493411554897,"[194503, 38522, 1933]",T4c,True,
720575941394739606,78462180752546343,"[188003, 31003, 1019]",,False,
720575941394740630,78250937953003185,"[181340, 28506, 4223]",,False,
720575941394741398,78884668698788124,"[200243, 39001, 3098]",,False,
720575941394742166,78602781271381867,"[191277, 27649, 2722]",,False,
720575941394748566,78814437058039842,"[196610, 44103, 1834]",TmY20,True,
720575941394752406,78884118607586285,"[200643, 23279, 1872]",,False,
720575941394757270,78954900138692354,"[202091, 34967, 3797]",Dm3v,True,low
720575941394758038,78673356106769618,"[193958, 34771, 2425]",TmY14,True,
720575941394791318,78743312600943930,"[196305, 20494, 2594]",Tm9,True,
720575941394876310,78954625260537405,"[201203, 26976, 3699]",Dm3q,True,
720575941394876822,78391606788895008,"[186021, 26454, 4434]",,False,
720575941394879126,79165525334471490,"[207102, 21745, 3615]",L2,True,
720575941394880918,78532137783468977,"[188453, 19314, 3215]",Tm3,True,
720575941394881174,79095294163611536,"[205869, 24718, 4188]",,False,
720575941394886806,78814368070459430,"[197992, 41361, 927]",,False,
720575941394887574,78461975399155104,"[187987, 26027, 4033]",Tm1,True,
720575941394905750,78251143305982788,"[180692, 34808, 1084]",,False,
720575941394912150,78743518625288164,"[195142, 26880, 2125]",,False,
720575941394912662,78602368887402829,"[192376, 14622, 2519]",,False,
720575941394914454,79588217963468876,"[219491, 35922, 508]",Mi1,True,
720575941394922390,79377043414560010,"[213645, 33865, 1999]",Tm25,True,
720575941394925974,79447480811017662,"[217019, 36214, 1710]",Dm3p,True,
720575941394930070,79095842912463988,"[205656, 41236, 258]",Tm9,True,
720575941394938262,79376562444781463,"[213028, 19430, 2055]",,False,
720575941394939542,79306193768151424,"[211187, 20043, 2469]",,False,
720575941394971030,78391400563431624,"[185348, 19525, 4187]",Tm3,True,
720575941394975894,79728680976643003,"[224223, 27382, 1864]",Mi13,True,
720575941394986902,78462593136062110,"[188123, 43906, 1146]",,False,
720575941394993046,78392636842692345,"[185984, 56163, 1555]",T5d,True,
720575941394996630,79658449604746722,"[222691, 32739, 1769]",,False,
720575941395001238,79236374780074015,"[210450, 36024, 2555]",,False,
720575941395006358,78040724268585923,"[175711, 55274, 1224]",,False,
720575941395014294,77829274840738999,"[169519, 43285, 2563]",,False,
720575941395020438,78743587881435575,"[196362, 30412, 4106]",,False,
720575941395025046,79447686700561946,"[215798, 41851, 525]",,False,
720575941395030422,78744205484560169,"[195246, 48965, 874]",,False,
720575941395031446,79307018267336173,"[211185, 43853, 1849]",,False,
720575941395032470,78884187796653132,"[198826, 25362, 3612]",,False,
720575941395039126,79306674401625643,"[212837, 32971, 857]",,False,
720575941395039894,79095843047107630,"[206466, 41760, 898]",,False,
720575941395043478,78180981526012770,"[179433, 39036, 4340]",T5c,True,
720575941395045782,79095293358872419,"[205427, 25317, 1277]",,False,
720575941395048598,78181049439553102,"[179597, 41641, 1156]",,False,
720575941395049366,78814093259798603,"[197282, 33487, 1229]",,False,
720575941395051158,79447824341249177,"[215738, 47056, 1464]",Tm2,True,
720575941395051670,78814025077064493,"[197138, 31325, 3231]",Tm5f,True,
720575941395054998,79377180585036717,"[213545, 37498, 968]",,False,
720575941395057046,79095705742246532,"[205758, 37907, 1366]",Tm1,True,
720575941395059094,79306880358433196,"[211897, 40403, 238]",,False,
720575941395076246,77899506146246370,"[170982, 39706, 2654]",Li11,True,
720575941395076758,78392155873974602,"[186223, 42265, 2001]",,False,
720575941395078294,78743587076260639,"[196523, 29989, 1075]",,False,
720575941395079062,79306674804762235,"[212053, 34053, 2554]",Mi9,True,
720575941400332579,77900055701091124,"[171823, 57258, 2007]",T5c,True,
720575941400344867,77688537151745237,"[164500, 44407, 2020]",Li05,True,
720575941400451619,77758768523931748,"[167247, 39530, 2237]",,False,
720575941401260579,78111024695775563,"[177848, 51947, 2699]",,False,
720575941401318179,78462524349742053,"[186566, 42395, 987]",,False,
720575941401528099,79025612010287544,"[203020, 45993, 1912]",T3,True,
720575941401538851,78462181288929205,"[186806, 32320, 2932]",T5c,True,
720575941401541155,77759386865114095,"[167876, 57656, 1759]",,False,
720575941401571107,78885080680408560,"[198666, 51740, 1933]",T5b,True,
720575941401624099,79517505621900820,"[217845, 25162, 290]",L2,True,
720575941401636131,79377524383481632,"[214801, 47443, 1677]",Tm2,True,
720575941401644067,78251693397285035,"[181800, 49605, 2351]",T5a,True,
720575941401832739,77900124420229527,"[171112, 57839, 1894]",,False,
720575941402098723,78532275490466518,"[189868, 23860, 4101]",Mi1,True,
720575941402133027,78532893294761762,"[188442, 41883, 1577]",,False,
720575941402135075,78603193856501298,"[191310, 39071, 3702]",T4c,True,
720575941402135587,78462730641974464,"[186550, 47746, 1351]",,False,
720575941402139939,78885080277415372,"[200349, 51721, 323]",,False,
720575941402143779,78532687673262391,"[189111, 36316, 3670]",T3,True,
