root_id,supervoxel_id,position,type,is_fafb_ol_type
720575941393863172,74733324773848759,"[79120, 52926, 1908]",,False
720575941393886724,73958993709587846,"[55812, 44523, 1792]",T5d,True
720575941393887748,73044612419746309,"[30420, 55984, 2208]",TmY10,True
720575941393896196,73958444222977709,"[57146, 27569, 3061]",C2,True
720575941393916932,73818256154561048,"[52389, 43468, 1664]",C3,True
720575941393923076,73747680983450810,"[49976, 37397, 628]",L3,True
720575941393925124,73818187971651975,"[52422, 41519, 3603]",Y11,True
720575941393983236,73677175605857867,"[47649, 33232, 3766]",Mi1,True
720575941393988100,74239644656991868,"[63502, 19146, 4215]",Tm3,True
720575941394016772,73958237997307842,"[56075, 20565, 2754]",T1,True
720575941394020868,74240606125584903,"[64015, 47947, 1882]",Li06,True
720575941394021124,73184868602978965,"[33412, 41820, 1043]",Mi4,True
720575941394024196,74240743296171047,"[63592, 51951, 962]",TmY15,True
720575941394034948,73959405892830625,"[55902, 57124, 1464]",LPi09,True
720575941394040836,73255581078737949,"[36515, 53134, 1553]",Mi1,True
720575941394045188,73958444356530745,"[55822, 27170, 3342]",,False
720575941394046980,73747955861704502,"[50067, 46025, 738]",TmY10,True
720575941394103190,73747131965940241,"[50496, 22508, 3463]",Dm11,True
720575941394164118,73887800734660852,"[53662, 18961, 3410]",T1,True
720575941394184598,74239713309069818,"[63803, 22499, 3856]",Tm20,True
720575941394185878,73536368659895899,"[43828, 31514, 993]",L4,True
720575941394194838,73606325623769363,"[45136, 20242, 2912]",L1,True
720575941394197398,73536780842645572,"[45005, 43090, 505]",L4,True
720575941394208406,73325056939750116,"[37781, 25006, 3448]",T1,True
720575941394208662,73888281100225088,"[54666, 33845, 952]",L2,True
720575941394247062,73185006377524092,"[34524, 46601, 2337]",Tm20,True
720575941394267542,73677518464559369,"[47385, 43343, 777]",L5,True
720575941394282646,73606806190617702,"[46474, 33968, 1215]",L5,True
720575941394283158,73466137555944485,"[42504, 34828, 1723]",,False
720575941394405270,73817775856702609,"[52054, 29875, 4584]",,False
720575941394579606,73677587251557539,"[48666, 45423, 1173]",Tm1,True
720575941394641814,73817706399013833,"[52113, 27866, 1759]",Mi9,True
720575941394642070,72833368680677039,"[24526, 51453, 1907]",Tm1,True
720575941394643862,73606944367485976,"[45346, 36946, 3929]",Pm03,True
