root_id,supervoxel_id,position
720575941408199086,73326018273928939,"[37150, 53866, 531]"
720575941408245934,72974105968300611,"[27592, 52883, 1231]"
720575941408252334,73184593993579147,"[33937, 33581, 2086]"
720575941408305199,73888006490319838,"[53977, 25303, 1835]"
720575941408617902,73043512907594469,"[29686, 24357, 2068]"
720575941409189291,74099250229399245,"[60868, 30009, 2251]"
720575941409211695,73184318914286618,"[33647, 26182, 1292]"
720575941409284526,73536025733032699,"[43738, 21056, 3337]"
720575941409285038,73536094318365548,"[43790, 22678, 2848]"
720575941409288878,73536025867743049,"[44567, 21771, 4014]"
720575941409374126,74099181442440492,"[60867, 28397, 1869]"
720575941409414315,74099181845013536,"[60053, 28295, 3382]"
720575941409473963,73676625446915806,"[47648, 18160, 2170]"
720575941409760939,73888281972658832,"[54098, 34243, 4296]"
720575941409765803,73536712189922496,"[44561, 42149, 630]"
720575941409778862,73677106215252653,"[48979, 32441, 1192]"
720575941409878190,73114912444696300,"[31174, 54303, 2288]"
720575941409880367,73606875043608777,"[45497, 35052, 1539]"
720575941409886638,74099250028175793,"[60098, 28817, 1521]"
720575941409886894,74169619376199245,"[63436, 29588, 3785]"
720575941409903663,73747543812777932,"[50550, 33255, 1585]"
720575941409905711,73888075411595708,"[54083, 27753, 2764]"
720575941409912111,73677175471538162,"[47131, 33199, 3223]"
720575941409924399,74028813033891363,"[58249, 28330, 3179]"
720575941409930287,73254963006498889,"[35379, 34586, 3225]"
720575941409965103,73536575690153178,"[43906, 38054, 4106]"
720575941409979183,73747406910678572,"[50353, 30367, 3619]"
720575941409983279,73887868984589709,"[54794, 21104, 1753]"
720575941409998507,73677038099933052,"[47216, 29363, 3575]"
720575941410037295,73395768476046290,"[39076, 35601, 379]"
720575941410042415,74099593423706170,"[59488, 39200, 724]"
720575941410043951,73043856102368277,"[29266, 34559, 529]"
720575941410529451,73395769146970254,"[40409, 35260, 2882]"
720575941410599339,73114225383658085,"[32743, 33115, 2616]"
720575941410612395,73184937255334711,"[34184, 44844, 780]"
720575941410672811,73325400537351199,"[38620, 36803, 3521]"
720575941410836395,73114981029460004,"[32009, 55597, 1594]"
720575941410870699,73255718316556751,"[36614, 55774, 872]"
720575941410948011,73325056738728291,"[37332, 25184, 2779]"
720575941410981487,73747269405181031,"[49719, 25287, 3575]"
720575941411033967,73747750642537217,"[51005, 39250, 4238]"
720575941411050607,74099250161621751,"[60192, 30503, 1792]"
720575941411068783,73747337520541095,"[50015, 28107, 1211]"
720575941411069611,73185349774051441,"[34567, 56225, 1738]"
720575941411181739,73043856438360637,"[30606, 33801, 1932]"
720575941411295343,73325124920952547,"[37856, 28112, 645]"
720575941411962539,73536780842291868,"[44743, 44328, 381]"
720575941411973291,74029087307383272,"[57762, 36770, 781]"
720575941412090735,73466412299256912,"[41477, 43432, 1075]"
720575941412111215,73325057006600817,"[37190, 26358, 3605]"
720575941412219759,73185212133247396,"[33942, 51370, 798]"
720575941412269739,73185006445148208,"[33885, 45913, 2787]"
720575941412302959,73255237750228138,"[36408, 42806, 2728]"
720575941412329387,73958787350194926,"[56014, 38415, 1119]"
720575941412335471,74029294204705192,"[57764, 42168, 3791]"
720575941412350063,73677587184526256,"[49103, 46773, 960]"
720575941412365679,73465931732702608,"[42061, 30507, 2882]"
720575941412394411,73817637947436447,"[51649, 26063, 2579]"
720575941412473199,73959131081891570,"[55886, 49143, 1669]"
720575941412476305,74239781894511404,"[64489, 24309, 3415]"
720575941412565675,73326018475777551,"[36874, 53602, 1472]"
720575941412569003,74099731735229587,"[59515, 44802, 3958]"
720575941412577937,74240399766200828,"[65216, 42698, 1247]"
720575941412593300,73607150190471557,"[47012, 44650, 2702]"
720575941412611476,74663025017417211,"[77709, 53260, 2874]"
720575941412682667,74733118615593675,"[79461, 46276, 1992]"
720575941412711572,74169619107421776,"[61985, 29952, 2640]"
720575941412726673,74169619510285925,"[63033, 28846, 4250]"
720575941412746155,73888281301494896,"[53999, 32984, 1720]"
720575941412746385,74240056571552303,"[63771, 30768, 2812]"
720575941412773035,74381275096134920,"[68972, 45150, 2770]"
720575941412784020,74099250765877798,"[61240, 29846, 4165]"
720575941413079188,73676900392492093,"[48286, 25242, 2523]"
720575941413099156,73114912511269660,"[32695, 54001, 2353]"
720575941413104020,74170306235225230,"[62063, 50376, 2435]"
720575941413145236,73536643403172255,"[43808, 39616, 307]"
