root_id,supervoxel_id,position,type
720575941392408580,73607287562087428,"[45393, 48727, 2343]",Y12
720575941392419844,74029431039690461,"[57696, 45793, 1481]",T3
720575941392463620,73114431743461253,"[32264, 39239, 3401]",Tm4
720575941392478468,73254962872240565,"[35030, 33723, 2707]",TmY4
720575941392493060,73044062865381854,"[29373, 39390, 3014]",Dm10
720575941392504836,73185006243870015,"[33455, 46753, 2033]",Dm2
720575941392509700,73044131450533778,"[29254, 41017, 2456]",Tm3
720575941392515076,73044337407367826,"[30429, 48626, 1597]",Tm25
720575941392518916,73466481488508882,"[42947, 45819, 2876]",T2
720575941392523268,73677450081243630,"[47220, 42735, 2274]",T3
720575941392523780,73536781781651031,"[44661, 44078, 3901]",T4a
720575941392613380,74169482138213027,"[62665, 25027, 4423]",Mi15
720575941392615940,73677930848627156,"[49115, 55681, 1077]",T2
720575941392616964,73184456286265030,"[33856, 30210, 1086]",T1
720575941392737174,73114500060328610,"[32069, 41253, 1878]",TmY4
720575941392851460,74028744314105737,"[57817, 25714, 3073]",Tm5f
720575941392855446,73114225383963430,"[31205, 33112, 2732]",Tm3
720575941392856580,73747131697776919,"[49566, 20670, 2547]",L1
720575941392902806,73958856606978746,"[55675, 39877, 3322]",Tm1
720575941392970902,73395769214159467,"[39933, 36511, 3163]",Sm15
720575941392971926,73325262897263423,"[37130, 31743, 2806]",T3
720575941393017750,73255031659068347,"[35149, 35829, 3054]",Mi10
720575941393038998,74099937289378190,"[60289, 49577, 1551]",T5d
720575941393057686,73255237682959313,"[35487, 41222, 2416]",Tm5f
720575941393088662,73255169030483308,"[35886, 40320, 2633]",Dm2
720575941393098134,73255099908330823,"[36334, 38492, 1090]",Tm27
720575941393105302,73396250250627808,"[39587, 49343, 3206]",T4b
720575941393150102,74310769180930579,"[65949, 41586, 3608]",LMt1
720575941393156502,73185006243258813,"[33431, 45351, 1814]",Mi2
720575941393173910,73536781648049914,"[43775, 44789, 3582]",T4b
720575941393199364,73958649978626395,"[56563, 32921, 1482]",Mi10
720575941393211798,73255100378419875,"[36008, 38469, 3003]",Tm27
720575941393227414,73184594061049457,"[34628, 33586, 2480]",Mi4
720575941393231510,73747681520374987,"[50908, 38296, 2687]",TmY14
720575941393256086,73395356629154462,"[40585, 22867, 2243]",Lawf2
720575941393282454,73185074626987280,"[34587, 47724, 515]",L4
720575941393309846,74100143448098232,"[59591, 57001, 1643]",LPi02
720575941393325462,73325674677067899,"[38124, 44244, 711]",Mi9
720575941393335190,73395494336571163,"[39552, 27008, 3291]",Dm3p
720575941393354646,73958718899485183,"[55789, 36851, 2264]",T2
720575941393358742,73325880969222742,"[38866, 49985, 1044]",Mi4
720575941393379844,73817707137104066,"[51888, 27402, 4541]",L4
720575941393392644,72973762840635194,"[27749, 41871, 2992]",L1
720575941393410454,73958307119324918,"[55337, 22789, 4258]",L2
720575941393434884,73817432057417539,"[52030, 20455, 3610]",L2
720575941393443332,74029156027066969,"[58081, 36947, 806]",L3
720575941393443588,73606738209459468,"[45648, 32008, 4086]",L5
720575941393506710,73254963140329828,"[35515, 34096, 3595]",C3
720575941393526276,73396249512191393,"[39855, 49499, 299]",L1
720575941393543684,74240125022209160,"[64142, 33465, 1653]",T2a
720575941393723030,73114225518068177,"[31495, 34792, 3203]",Sm32
720575941393732868,73184937255743955,"[33803, 43089, 938]",Tm1
720575941393778436,73536849763309434,"[44101, 46398, 1224]",TmY16
720575941393787908,73114156798500185,"[32011, 32035, 3171]",Tm3
720575941393803524,74029225485232130,"[59006, 40648, 3796]",T5d
720575941393811204,73607150123181645,"[46046, 44178, 2364]",TmY14
720575941393847300,73677106953563095,"[48782, 32381, 4056]",Tm27
720575941393847812,74240125693148079,"[64717, 33806, 4153]",T4c
720575941393852164,73396250250341231,"[40771, 49541, 3103]",T2
720575941393886724,73958993709587846,"[55812, 44523, 1792]",T5d
720575941393887748,73044612419746309,"[30420, 55984, 2208]",TmY10
720575941393916932,73818256154561048,"[52389, 43468, 1664]",C3
720575941393923076,73747680983450810,"[49976, 37397, 628]",L3
720575941393925124,73818187971651975,"[52422, 41519, 3603]",Y11
720575941393983236,73677175605857867,"[47649, 33232, 3766]",Mi1
720575941393988100,74239644656991868,"[63502, 19146, 4215]",Tm3
720575941394016772,73958237997307842,"[56075, 20565, 2754]",T1
720575941394020868,74240606125584903,"[64015, 47947, 1882]",Li06
720575941394021124,73184868602978965,"[33412, 41820, 1043]",Mi4
720575941394024196,74240743296171047,"[63592, 51951, 962]",TmY15
720575941394034948,73959405892830625,"[55902, 57124, 1464]",LPi09
720575941394040836,73255581078737949,"[36515, 53134, 1553]",Mi1
720575941394046980,73747955861704502,"[50067, 46025, 738]",TmY10
720575941394103190,73747131965940241,"[50496, 22508, 3463]",Dm11
720575941394164118,73887800734660852,"[53662, 18961, 3410]",T1
720575941394184598,74239713309069818,"[63803, 22499, 3856]",Tm20
720575941394194838,73606325623769363,"[45136, 20242, 2912]",L1
720575941394197398,73536780842645572,"[45005, 43090, 505]",L4
720575941394208662,73888281100225088,"[54666, 33845, 952]",L2
720575941394247062,73185006377524092,"[34524, 46601, 2337]",Tm20
720575941394267542,73677518464559369,"[47385, 43343, 777]",L5
720575941394282646,73606806190617702,"[46474, 33968, 1215]",L5
720575941394579606,73677587251557539,"[48666, 45423, 1173]",Tm1
720575941394641814,73817706399013833,"[52113, 27866, 1759]",Mi9
720575941394642070,72833368680677039,"[24526, 51453, 1907]",Tm1
720575941394643862,73606944367485976,"[45346, 36946, 3929]",Pm03
720575941394657174,74028469234856642,"[58304, 17801, 2365]",Mi1
720575941394668950,73465931464669496,"[42622, 30355, 2001]",Mi14
720575941394670742,73959268856655807,"[56060, 52480, 3045]",Tlp4
