root_id,supervoxel_id,position,type,is_fafb_ol_type,confidence
720575941625599643,77759249560158141,"[167521, 54334, 2178]",LC4,True,
720575941625751707,78181530543554027,"[179953, 57342, 1483]",,False,
720575941625866553,77548074742319782,"[161045, 51767, 2688]",LT70,True,
720575941625885753,78110749616775669,"[177694, 44765, 2013]",LC18,True,
720575941625946681,78110406489022447,"[177783, 33757, 3768]",LC12,True,
720575941625990602,77688606072629891,"[165351, 46021, 2814]",LC41,True,
720575941626079131,77829412414728495,"[168112, 48558, 3310]",LC16,True,
720575941626160748,77899574866036186,"[171719, 42729, 2763]",LC24,True,
720575941626231178,78462730373484398,"[187725, 47116, 458]",,False,
720575941626299082,78181530610061403,"[179807, 56949, 1539]",LPC1,True,
720575941626299594,78321169124050578,"[183431, 22687, 3713]",,False,
720575941626330425,77688606206222790,"[165058, 46513, 3106]",LC12,True,
720575941626380443,77759043736996894,"[167370, 48173, 3380]",LC13,True,
720575941626421356,78391469148792706,"[184462, 21204, 3734]",,False,
720575941626481563,78180500220823405,"[178319, 26397, 3167]",C3,True,
720575941626653834,77969737250575679,"[172416, 34825, 2040]",MTe51,True,
720575941626727276,77899712170365142,"[170008, 46552, 2099]",,False,
720575941626786186,78040243702144631,"[175161, 39942, 3063]",LC15,True,
720575941626786506,77688331060410192,"[163920, 37792, 2243]",LC12,True,
720575941626864586,77829137468856206,"[168677, 40859, 2818]",LC15,True,
720575941626914506,77828999896382896,"[169789, 36668, 2542]",cM04,True,
720575941626936266,79024856565677927,"[204304, 24099, 3659]",,False,
720575941626936522,79376425072797335,"[214669, 16203, 2501]",,False,
720575941626940827,77899712305009014,"[171081, 45575, 2763]",,False,
720575941626963914,77336968576774567,"[155376, 52534, 2888]",cLP01,True,
720575941626964426,78251830500855038,"[181896, 54650, 1120]",LLPC2,True,
720575941626965194,79588080725767551,"[220485, 31873, 1041]",,False,
720575941626975434,77758906298413251,"[167632, 43992, 3511]",,False,
720575941627051658,79235824956485544,"[210151, 19161, 2081]",,False,
720575941627075786,77758837176349434,"[166542, 41411, 1998]",LC12,True,
720575941627110026,78180843616775079,"[178215, 36136, 2343]",LPLC4,True,
720575941627133548,77548143327431165,"[160293, 54804, 2116]",,False,
720575941627147978,78955380571226872,"[202673, 49617, 1530]",,False,
720575941627168411,77688812096720493,"[165179, 51399, 2267]",LC6,True,
720575941627184522,76984575033542339,"[145315, 35263, 2811]",LAL047,True,low
720575941627211628,77618512138821871,"[162004, 53412, 2414]",Li05,True,
720575941627213258,77618305846412958,"[163522, 48713, 1987]",LC13,True,
720575941627224940,78673562399227153,"[193161, 39291, 2878]",,False,
720575941627248842,78251143440363245,"[182057, 33331, 1659]",MTe02,True,
720575941627253450,77688537285758690,"[165505, 44864, 2470]",Li10,True,
720575941627290058,77548143260636329,"[160687, 54764, 1978]",LC31a,True,
720575941627322314,78251556360974078,"[181886, 45604, 3883]",,False,
720575941627354169,78251281080592819,"[180341, 37509, 2405]",LPLC2,True,
720575941627355274,77829549718734411,"[168508, 53119, 2578]",,False,
720575941627386523,78462180953578996,"[187744, 31235, 1714]",,False,
720575941627389595,78673631185787377,"[193812, 42403, 3122]",,False,
720575941627421339,78743381656112884,"[195595, 22924, 3928]",,False,
720575941627445817,77617481883465175,"[162684, 23778, 4429]",,False,
720575941627465068,78602850393188288,"[191119, 30555, 4157]",,False,
720575941627465273,77829755474515614,"[169287, 58769, 1231]",LPC2,True,
720575941627465324,77477500040979622,"[159070, 46985, 3436]",LC40,True,
720575941627493019,77758974816123497,"[167869, 46580, 2585]",LTe26,True,
720575941627502218,78040037543312448,"[175477, 33554, 2919]",,False,
720575941627512987,78954968388481104,"[202091, 37866, 2010]",,False,
720575941627662444,79306468914141244,"[212744, 27224, 3368]",,False,
720575941627708554,78040793457759638,"[174084, 56866, 3005]",,False,
720575941627739705,77758768724830513,"[167797, 40804, 2844]",,False,
